Description	Part number	Length	Quantity	Notes	Order Code	Inc. Drawing		Drawing color
25 mm profile	25-2525	275 mm	4	1 x 25-7063; 5 x 25-7501	(4) 25-2525 x 275.00mm w/ (2) 25-7063 in both ends and (2) 25-7501 Style MC on R both ends, (2) 25-7501 Style MC on S both ends, and (1) 25-7501 in R @ 120.00 mm from end	NicoLase1500VerticalProfile.pdf		Blue
	25-2525	450 mm	4	2 x 25-7063	(4) 25-2525 x 450.00mm w/ 25-7063 in both ends	n/a		Green
	25-2525	450 mm	2	2 x 25-7063; 2 x 25-7501	(2) 25-2525 x 450.00mm w/ (2) 25-7063 in both ends and (2) 25-7501 in R @ 25.00mm from both ends	NicoLase1500MidHorizontalProfile.pdf		Yellow
	25-2525	325 mm	6	2 x 25-7063	(6) 25-2525 x 325.00mm w/ 25-7063 in both ends	n/a		Red
								
								
								
25 mm door slide, upper	25-2211	450 mm	1			n/a		Gray
25 mm door slide, upper	25-2221	450 mm	1			n/a		Gray
								
ABS Haircell panel, black, 4.5 mm	65-2614-T	339 x 239 mm	1	25-7502 all 4 corners	65-2614-T (1) @ (AD) 339.00mm x (AB) 239.00mm w/ 25-7502 (4) on all corners 	n/a		trans green
		339 x 239 mm	1	25-7502 all 4 corners, 1 x 65-7159	65-2614-T (1) @ (AD) 339.00mm x (AB) 239.00mm w/ 25-7502 (4) on all corners and 65-7159 (1) with âˆ…15 mm @ 39.25 mm on side AB and 72.48mm on side AD.	NicoLase1500RightPanel.pdf		trans green
		464 x 97 mm	2	25-7502 all 4 corners	65-2614-T (2) @ (AD) 464.00mm x (AB) 97.00mm w/ 25-7502 (4) on all corners	n/a		trans. yellow
		464 x 131 mm	1	25-7502 all 4 corners, 2 x 65-7164 	65-2614-T (1) @ (AD) 464.00mm x (AB) 131.00mm w/ 25-7502 (4) on all corners and 65-7164 (2) at indicated positions.	NicoLase1500LowerRearPanel.pdf		trans red
		250 x 105 mm	2	--	65-2614-T (2) @ (AD) 250.00mm x (AB) 105.00mm	n/a		trans. blue
		375 x 500 mm	1	4 x 25-7507 	65-2614-T (1) @ (AD) 500.00mm x (AB) 375.00mm w/ 25-7507 (2) on side AB @ 12.5 mm and 362.5 mm and w/ 25-7507 (2) on side CD @ 12.5 mm and 362.5 mm	NicoLase1500TopPanel.pdf		trans. gray
								
Panel gasket	25-2116	7000 mm	1					
								
M6 end connector	25-3895	n/a	24			n/a		
Slide-in T nuts, M6	25-1964	n/a	8			n/a		
2 hole slotted corner bracket	25-4265	n/a	4			n/a		
M6 x 12 mm socket head hex cap screw	3801	12 mm	4			n/a		
M6 x 10 mm button head socket screws	17-6310	10 mm	8			n/a		
M6 x 16 mm flanged button head socket screw	17-6416	16 mm	4	Can use M6 x 1.0 thumb screw or knobs				